probe_id,timestamp,readable_time,selected_ip,in_dns_set,avg_rtt
1002570,1759844227,2025-10-07 15:37:07,142.250.186.78,1,5.5649035
1003136,1759844228,2025-10-07 15:37:08,74.125.193.136,1,9.313833200000001
1003139,1759844228,2025-10-07 15:37:08,142.251.12.91,1,68.68846230000001
1004171,1759844239,2025-10-07 15:37:19,142.250.196.206,1,4.7454957
1004463,1759844229,2025-10-07 15:37:09,172.217.169.206,1,49.4582087
1006285,1759844226,2025-10-07 15:37:06,172.217.18.14,1,7.2834507
1006437,1759844230,2025-10-07 15:37:10,74.125.133.91,1,18.1831782
1008095,1759844227,2025-10-07 15:37:07,172.217.168.46,1,12.565296199999997
1008172,1759844230,2025-10-07 15:37:10,142.250.203.142,1,51.852731500000004
1008837,1759844229,2025-10-07 15:37:09,,0,-1
1009077,1759844234,2025-10-07 15:37:14,172.217.194.136,1,2.2480341000000004
1009200,1759844223,2025-10-07 15:37:03,142.251.133.46,1,0.7954492
1009234,1759844230,2025-10-07 15:37:10,216.58.204.238,1,10.8254378
1009868,1759844234,2025-10-07 15:37:14,142.251.141.46,1,6.405309300000001
1010397,1759844227,2025-10-07 15:37:07,172.217.16.206,1,2.7770178000000003
1010399,1759844231,2025-10-07 15:37:11,172.217.23.206,1,0.7505417
1010625,1759844232,2025-10-07 15:37:12,142.250.9.190,0,219.82997339999997
1011004,1759844231,2025-10-07 15:37:11,64.233.165.198,0,3.8986223000000004
1011275,1759844226,2025-10-07 15:37:06,142.251.36.142,1,9.0585463
1012213,1759844234,2025-10-07 15:37:14,142.250.203.206,1,6.499136899999999
50201,1759844251,2025-10-07 15:37:31,172.253.115.93,1,34.551904199999996
52015,1759844258,2025-10-07 15:37:38,142.250.190.110,1,4.666716599999999
52229,1759844256,2025-10-07 15:37:36,142.250.176.206,1,20.273070699999998
52235,1759844256,2025-10-07 15:37:36,192.178.220.91,1,11.3775625
52645,1759844259,2025-10-07 15:37:39,142.250.190.46,1,22.607325099999997
53309,1759844254,2025-10-07 15:37:34,142.250.184.238,1,5.6130539
54268,1759844277,2025-10-07 15:37:57,142.251.32.110,1,5.341983399999999
54374,1759844253,2025-10-07 15:37:33,142.250.74.174,1,35.8941961
54627,1759844256,2025-10-07 15:37:36,74.125.205.198,1,45.400725300000005
54670,1759844251,2025-10-07 15:37:31,142.250.75.14,1,8.9868542
54969,1759844275,2025-10-07 15:37:55,142.250.184.238,1,8.0594209
55012,1759844278,2025-10-07 15:37:58,142.251.209.142,0,21.1046917
55330,1759844259,2025-10-07 15:37:39,142.250.217.142,1,9.4197502
55515,1759844262,2025-10-07 15:37:42,142.250.71.78,1,13.246208199999998
55761,1759844279,2025-10-07 15:37:59,172.253.63.91,1,5.1975166999999995
55859,1759844252,2025-10-07 15:37:32,216.58.209.14,1,4.4069291999999995
60105,1759844275,2025-10-07 15:37:55,142.251.41.46,1,16.028099200000003
60135,1759844278,2025-10-07 15:37:58,142.250.184.14,1,33.6363882
60433,1759844252,2025-10-07 15:37:32,74.125.130.91,1,41.349733
60525,1759844256,2025-10-07 15:37:36,192.178.54.142,1,146.89939769999998
60689,1759844252,2025-10-07 15:37:32,142.250.217.142,1,141.7746904
60958,1759844252,2025-10-07 15:37:32,142.250.72.142,1,3.5957474999999994
61181,1759844257,2025-10-07 15:37:37,142.250.203.142,1,10.953299300000001
61448,1759844255,2025-10-07 15:37:35,74.125.71.91,1,14.8256112
61476,1759844254,2025-10-07 15:37:34,172.217.168.174,1,24.4382966
61915,1759844274,2025-10-07 15:37:54,142.251.215.238,1,15.9492412
62093,1759844254,2025-10-07 15:37:34,216.58.213.78,1,7.591912499999998
62174,1759844253,2025-10-07 15:37:33,142.250.140.136,1,7.791469199999999
62602,1759844275,2025-10-07 15:37:55,142.251.208.174,1,2.8874591999999994
62732,1759844260,2025-10-07 15:37:40,142.251.39.110,0,11.261615
62917,1759844249,2025-10-07 15:37:29,142.251.163.190,1,247.01353080000004
63046,1759844261,2025-10-07 15:37:41,142.250.185.206,1,47.4896986
65369,1759844275,2025-10-07 15:37:55,172.217.24.142,1,84.3491883
65505,1759844254,2025-10-07 15:37:34,172.217.16.46,0,85.76000230000001
65507,1759844250,2025-10-07 15:37:30,216.58.207.238,1,52.37973079999999
65581,1759844250,2025-10-07 15:37:30,142.250.184.174,1,14.021986099999998
65779,1759844253,2025-10-07 15:37:33,142.251.9.93,1,27.004316699999997
1000358,1759844286,2025-10-07 15:38:06,142.250.203.142,1,-1
1003233,1759844302,2025-10-07 15:38:22,172.217.26.238,1,5.5223740999999995
1003512,1759844305,2025-10-07 15:38:25,142.251.36.78,1,4.6296900999999995
1003539,1759844296,2025-10-07 15:38:16,142.250.178.142,1,4.751749200000001
1003842,1759844295,2025-10-07 15:38:15,142.250.178.206,1,8.583948600000001
1005046,1759844292,2025-10-07 15:38:12,172.217.16.174,1,35.215626099999994
1005339,1759844304,2025-10-07 15:38:24,74.125.131.198,1,23.094893399999997
1005737,1759844297,2025-10-07 15:38:17,142.250.200.174,1,3.7618199
1005819,1759844303,2025-10-07 15:38:23,74.125.21.91,1,16.823939699999997
1007642,1759844303,2025-10-07 15:38:23,142.250.179.78,1,9.1761972
1008266,1759844305,2025-10-07 15:38:25,142.250.80.110,1,11.132736200000002
1009428,1759844292,2025-10-07 15:38:12,172.217.23.206,1,2.5105188000000003
1009611,1759844293,2025-10-07 15:38:13,142.250.186.174,1,2.3637182
1010509,1759844304,2025-10-07 15:38:24,216.58.211.14,1,1.6210358
1010615,1759844294,2025-10-07 15:38:14,172.217.16.206,1,0.8036049000000001
1010732,1759844292,2025-10-07 15:38:12,142.250.193.46,1,48.6683445
1010815,1759844295,2025-10-07 15:38:15,209.85.202.136,1,50.788349999999994
1011229,1759844305,2025-10-07 15:38:25,142.250.197.238,1,36.3111263
1012170,1759844300,2025-10-07 15:38:20,172.217.168.206,1,0.8569283000000001
1012349,1759844291,2025-10-07 15:38:11,142.250.197.78,1,0.9027732
51062,1759844287,2025-10-07 15:38:07,142.250.179.174,1,12.947954200000002
51802,1759844281,2025-10-07 15:38:01,142.251.33.174,1,6.0271752
51943,1759844284,2025-10-07 15:38:04,142.251.32.46,1,22.8803126
52969,1759844281,2025-10-07 15:38:01,142.250.201.78,1,8.785000100000001
54647,1759844282,2025-10-07 15:38:02,216.58.209.46,1,19.431870699999997
54949,1759844287,2025-10-07 15:38:07,142.250.185.174,1,22.369774999999997
55290,1759844285,2025-10-07 15:38:05,172.217.20.206,0,7.030850000000001
55584,1759844284,2025-10-07 15:38:04,209.85.233.198,0,74.97710850000001
60254,1759844282,2025-10-07 15:38:02,142.250.80.14,1,9.706926200000002
60339,1759844285,2025-10-07 15:38:05,142.251.29.93,1,14.794961
61364,1759844287,2025-10-07 15:38:07,142.250.129.136,1,10.728867099999999
61747,1759844286,2025-10-07 15:38:06,142.251.47.238,1,10.099246399999998
62832,1759844286,2025-10-07 15:38:06,172.217.24.46,1,5.391034400000001
62939,1759844280,2025-10-07 15:38:00,142.250.184.174,1,14.023672399999999
6372,1759844290,2025-10-07 15:38:10,142.250.185.110,1,9.046154300000001
64089,1759844288,2025-10-07 15:38:08,142.250.185.238,1,22.4833622
64609,1759844284,2025-10-07 15:38:04,216.58.214.78,1,131.1932267
64786,1759844286,2025-10-07 15:38:06,142.250.64.174,1,153.47495440000003
6492,1759844296,2025-10-07 15:38:16,142.250.188.238,1,0.7744479
65132,1759844287,2025-10-07 15:38:07,216.58.207.238,1,76.3747767
7249,1759844300,2025-10-07 15:38:20,216.58.209.14,1,2.7760873999999998
7520,1759844305,2025-10-07 15:38:25,192.178.54.142,1,17.7568862
7548,1759844373,2025-10-07 15:39:33,142.250.67.14,1,26.8574789
1002570,1759844628,2025-10-07 15:43:48,142.250.186.78,1,5.5674985
1003136,1759844620,2025-10-07 15:43:40,209.85.203.93,1,96.73792209999999
1003139,1759844625,2025-10-07 15:43:45,172.217.194.190,1,68.95194470000001
1004171,1759844633,2025-10-07 15:43:53,142.250.77.14,0,7.515732900000001
1004463,1759844622,2025-10-07 15:43:42,142.250.184.142,1,50.77936849999999
1006285,1759844632,2025-10-07 15:43:52,216.58.206.46,0,6.636340700000001
1006437,1759844625,2025-10-07 15:43:45,172.217.21.14,0,28.4408165
1008095,1759844630,2025-10-07 15:43:50,172.217.168.46,1,11.988582000000001
1008172,1759844624,2025-10-07 15:43:44,142.251.140.78,1,61.1086996
1008837,1759844626,2025-10-07 15:43:46,,0,-1
1009077,1759844634,2025-10-07 15:43:54,142.251.10.91,1,2.5951911
1009200,1759844621,2025-10-07 15:43:41,172.217.30.142,1,1.1538948999999998
1009234,1759844631,2025-10-07 15:43:51,216.58.204.238,1,10.791395300000001
1009868,1759844632,2025-10-07 15:43:52,172.217.17.110,1,6.1911156
1010397,1759844622,2025-10-07 15:43:42,172.217.18.14,1,2.7616150999999993
1010399,1759844625,2025-10-07 15:43:45,142.250.179.206,1,0.9317558
1010625,1759844626,2025-10-07 15:43:46,142.251.32.110,0,239.49995669999998
1011004,1759844623,2025-10-07 15:43:43,64.233.165.198,0,3.8872286000000003
1011275,1759844634,2025-10-07 15:43:54,142.251.36.78,1,8.9628749
1012213,1759844634,2025-10-07 15:43:54,142.250.180.110,1,15.431960900000002
1003233,1759844691,2025-10-07 15:44:51,142.251.222.14,1,6.0520488
